1_Taxon_sort_1,2_Taxon_sort_CandB_1,3_Taxon_common_name_2,4_Genus_name_2,5_Species_name_2,6_Subspecies_name_2,7_Taxon_scientific_name_CandB_2,8_Taxonomic_notes_2,9_Family_common_name_2,10_Family_scientific_name_2,11_Order_2,12_Sequence_of_orders_2,13_Family_within_order_2,14_Genus_within_family_2,15_Species_within_genus_2,16_Subspecies_within_species_2,17_Species_2,18_Subspecies_2,19_Ultrataxon_2,20_Ultrataxa_per_species_2,21_Species_per_genus_2,22_Genera_per_family_2,23_Families_per_order_2,24_Species_uniqueness_2,25_Ultrataxon_uniqueness_2,26_Patch_clade_3,27_Hackett_fine_clades_3,28_Hackett_coarse_clades_3,29_Population_description_4,30_Core_taxa_4,31_Non-breeding_populations_of_core_taxa_4,32_Extinct_4,33_Introduced_4,34_Vagrant_4,35_Supplementary_4,36_Endemic_entirely_in_Australia_4,37_Endemic_breeding_only_4,38_Non-breeding_only_4,39_Percent_in_Australia_breeding_4,40_Percent_in_Australia_non-breeding_4,41_Global_IUCN_status_2015_5,42_Global_IUCN_criteria_2015_5,43_Australian_status_1990_5,44_Australian_status_criteria_1990_5,45_Australian_status_2000_5,46_Australian_status_criteria_2000_5,47_Australian_status_2010_5,48_Australian_status_criteria_2010_5,49_Australian_status_July_2015_5,50_Australian_status_criteria_July_2015_5,51_EPBC_Status_July_2015_6,52_EPBC_year_listed_6,53_Bonn_Convention_6,54_CAMBA_6,55_JAMBA_6,56_ROKAMBA_6,57_Migratory_6,58_EPBC_Marine_6,59_ACT_status_2015_6,60_NSW_status_2015_6,61_NT_status_2015_6,62_QLD_status_2015_6,63_SA_status_2015_6,64_TAS_status_2015_6,65_VIC_status_2015_6,66_WA_status_2015,67_Australian_Capital_Territory_7,68_New_South_Wales_7,69_Northern_Territory_7,70_Queensland_7,71_South_Australia_7,72_Tasmania_7,73_Victoria_7,74_Western_Australia_7,75_Norfolk_Island_7,76_Lord_Howe_Island_7,77_Heard_Island_7,78_Macquarie_Island_7,79_Christmas_Island_7,80_Cocos_Keeling_Island_7,81_Ashmore_and_other_Indian_Ocean_islands_7,82_Coral_Sea_7,83_Australian_Fishing_Zone_7,84_Also_in_Papua_New_Guinea_7,85_Connectivity_with_Papua_New_Guinea_7,86_Also_in_Indonesia_7,87_Connectivity_with_Indonesia_7,88_Also_in_Timor-Leste_7,89_Connectivity_with_Timor-Leste_7,90_Also_in_New_Zealand_7,91_Connectivity_with_New_Zealand_7,92_Also_in_New_Caledonia_7,93_Connectivity_with_New_Caledonia_7,94_Australian_continental_island_only_7,95_Australian_oceanic_island_only_7,96_Body_length_8,97_Body_length_min_8,98_Body_length_max_8,99_Body_mass_average_8,100_Body_mass_min_8,101_Body_mass_max_8,102_Male_body_mass_average_8,103_Male_body_mass_min_8,104_Male_body_mass_max_8,105_Female_body_mass_average_8,106_Female_body_mass_min_8,107_Female_body_mass_max_8,108_Unsexed_body_mass_average_8,109_Unsexed_body_mass_min_8,110_Unsexed_body_mass_max_8,111_Source_of_body_mass_data_8,112_Brain_volume_8,113_Brain_mass_8,114_Brain_mass_residual_8,115_Feeding_habitat_Terrestrial_Arid_shrubland_9,116_Feeding_habitat_Terrestrial_Chenopod_shrubland_9,117_Feeding_habitat_Terrestrial_Heath_9,118_Feeding_habitat_Terrestrial_Triodia_hummock_grassland_9,119_Feeding_habitat_Terrestrial_Other_grassland_9,120_Feeding_habitat_Terrestrial_Mallee_9,121_Feeding_habitat_Terrestrial_Tropical_savanna_woodland_9,122_Feeding_habitat_Terrestrial_Temperate_dry_sclerophyll_forest_and_woodland_9,123_Feeding_habitat_Terrestrial_Temperate_wet_sclerophyll_forest_and_woodland_9,124_Feeding_habitat_Terrestrial_Rainforest_9,125_Feeding_habitat_Terrestrial_Mangrove_trees_9,126_Feeding_habitat_Inland_waters_Rivers_and_streams_9,127_Feeding_habitat_Inland_waters_Deep_open_water_9,128_Feeding_habitat_Inland_waters_Shallow_open_water_9,129_Feeding_habitat_Inland_waters_Reeds_and_tall_wet_grassland_9,130_Feeding_habitat_Inland_waters_Low_marshland_and_wet_grassland_9,131_Feeding_habitat_Coastal_Sandy_9,132_Feeding_habitat_Coastal_Rocky_9,133_Feeding_habitat_Coastal_Soft_mud_9,134_Feeding_habitat_Coastal_Saltmarsh_9,135_Feeding_habitat_Coastal_Mangrove_floor_9,136_Feeding_habitat_Marine_Very_cold_pelagic_9,137_Feeding_habitat_Marine_Cold_pelagic_9,138_Feeding_habitat_Marine_Temperate_pelagic_9,139_Feeding_habitat_Marine_Warm_pelagic_9,140_Feeding_habitat_Marine_Cold_inshore_9,141_Feeding_habitat_Marine_Temperate_inshore_9,142_Feeding_habitat_Marine_Warm_inshore_9,143_Feeding_habitat_Other_non-Australian_habitat_9,144_Feeding_habitat_Agricultural_landscapes_9,145_Feeding_habitat_Urban_landscapes_9,146_Breeding_habitat_Arid_shrubland_9,147_Breeding_habitat_Chenopod_shrubland_9,148_Breeding_habitat_Heath_9,149_Breeding_habitat_Triodia_hummock_grassland_9,150_Breeding_habitat_Other_grassland_9,151_Breeding_habitat_Mallee_9,152_Breeding_habitat_Tropical_savanna_woodland_9,153_Breeding_habitat_Temperate_dry_sclerophyll_forest_and_woodland_9,154_Breeding_habitat_Temperate_wet_sclerophyll_forest_and_woodland_9,155_Breeding_habitat_Rainforest_9,156_Breeding_habitat_Mangrove_9,157_Breeding_habitat_inland_wetland_9,158_Breeding_habitat_Beaches_and_sand_cays_9,159_Breeding_habitat_Rocky_coasts_and_islets_9,160_Breeding_habitat_Other_non-Australian_habitats_9,161_Breeding_habitat_Agricultural_lands_9,162_Breeding_habitat_Urban_9,163_Food_Fruit_10,164_Food_Nectar_or_pollen_10,165_Food_Seeds_10,166_Food_Foliage_or_herbs_10,167_Food_Corms_or_tubers,168_Food_Terrestrial_invertebrates_10,169_Food_Terrestrial_vertebrates_10,170_Food_Carrion_10,171_Food_Intertidal_invertebrates_10,172_Food_Fish_or_invertebrates_Marine_10,173_Food_fish_or_invertebrates_Inland_waters_10,174_Feeding_aggregation_Solitary_11,175_Feeding_aggregation_Pairs_11,176_Feeding_aggregation_Flocks_11,177_Mean_Flight_Initiation_Distance_11,178_Clutch_size_average_12,179_Clutch_size_min_12,180_Clutch_size_max_12,181_Egg_length_12,182_Egg_diameter_12,183_Nest_location_Ground_level_12,184_Nest_location_Supported_12,185_Nest_location_Hanging_12,186_Nest_location_Burrow_12,187_Nest_location_Hollow_12,188_Nest_location_Floating_12,189_Nest_aggregation_Solitary_12,190_Nest_aggregation_Colonial_12,191_Nest_aggregation_Parasitic_12,192_Breeding_system_Cooperative_12,193_National_movement_local_dispersal_13,194_National_movement_Partial_migrant_13,195_National_movement_Total_migrant_13,196_National_movement_Nomadic_or_opportunistic_13,197_National_movement_Irruptive_13,198_Nature_of_international_movements_13,199_Mixing_beyond_Australia_13,200_Level_of_international_genetic_exchange_13,201_Level_of_international_genetic_exchange_reliability_13,202_Maximum_time_elapsed_to_recapture_13,203_Maximum_distance_of_recapture_13,204_Number_of_banded_birds_recovered_13,205_Climate_specialisation_14,206_Specialisation_index_14,207_Sensitivity_index_14,208_Area_of_suitable_climate_inside_range_14,209_Area_of_suitable_climate_outside_range_14,210_Percent_of_suitable_climate_currently_inside_range_14,211_Percent_of_suitable_climate_remaining_inside_range_14,212_Inside_Range_10th_percentile_14,213_Inside_Range_90th_percentile_14,214_Percent_of_suitable_climate_remaining_outside_range_14,215_Outside_Range_10th_percentile_14,216_Outside_Range_90th_percentile_14,217_Climate_model_factor_Annual_mean_temperature_14,218_Climate_model_factor_Temperature_seasonality_14,219_Climate_model_factor_Max_temperature_of_warmest_month_14,220_Climate_model_factor_Min_temperature_of_coldest_month_14,221_Climate_model_factor_Annual_precipitation_14,222_Climate_model_factor_Precipitation_seasonality_14,223_Climate_model_factor_Precipitation_of_wettest_quarter_14,224_Climate_model_factor_Precipitation_of_driest_quarter_14,225_Mean_marine_productivity_around_breeding_colonies_14,226_Maximum_marine_productivity_around_breeding_colonies_14,227_Change_in_marine_productivity_around_breeding_colonies_14,228_Change_in_maximum_marine_productivity_around_breeding_colonies_14,229_BirdLife_Australia_Species_Number_15,230_BirdLife_Australia_Taxon_ID_15
1,1,Ostrich,Struthio,camelus,NA,Struthio camelus,NA,Ostriches,Struthionidae,Struthioniformes,1,1,1,1,0,1,0,0,4,2,1,5,46.4,NA,Paleognathae,Paleognaths,Paleognaths,Introduced,0,0,0,1,0,0,0,0,0,2,2,LC,NA,Introduced,NA,Introduced,NA,Introduced,NA,Introduced,NA,not listed,NA,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,Introduced,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,not listed,NA,not listed,NA,not listed,NA,not listed,NA,not listed,NA,NA,NA,225,175,275,114000,90000,156000,128000,100000,156000,100000,90000,110000,NAV,NAV,NAV,del Hoyo et al. (1992-2013),NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,NAV,16,5,38,159,130,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,none,0,nil,certain,NAV,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928,928
2,2,Eastern Ostrich,Struthio,camelus,massaicus,NA,Subspecies from del Hoyo et al. (2014),Ostriches,Struthionidae,Struthioniformes,1,1,1,1,1,0,1,1,4,2,1,5,NA,39.8,Paleognathae,Paleognaths,Paleognaths,Introduced,0,0,0,1,0,0,0,0,0,2,2,not listed,NA,Introduced,NA,Introduced,NA,Introduced,NA,Introduced,NA,not listed,NA,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,not listed,NA,not listed,NA,not listed,NA,not listed,NA,not listed,NA,NA,NA,NA,NA,NA,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAV,NA,NA,NA,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,0,nil,certain,NAV,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928,u928
3,3,Southern Cassowary,Casuarius,casuarius,NA,Casuarius casuarius,NA,Emus and Cassowaries,Casuariidae,Struthioniformes,1,2,2,1,0,1,0,0,1,3,2,5,32.2,NA,Paleognathae,Paleognaths,Paleognaths,Australian,1,0,0,0,0,0,0,0,0,3,3,VU,A2cde,EN,A2c,EN,A2c,VU,A2c,VU,A2c,EN,2000,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,VU*,not listed,not listed,not listed,not listed,not listed,not listed,not listed,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,present,none,present,none,not listed,NA,not listed,NA,not listed,NA,0,0,160,150,170,45100,29200,58500,31700,29200,34100,58500,NAV,NAV,NAV,NAV,NAV,HANZAB,36.35,37.66,-0.25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NAV,4.8,3,5,135,95,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,none,0,nil,certain,NAV,NAV,NAV,2.733,1.21,1.16,24,35,41,33,13,58,13,4,54,1,3,0,0,26,7,50,12,NA,NA,NA,NA,2,2
4,4,Australian Southern Cassowary,Casuarius,casuarius,johnsonii,NA,Subspecies from Marchant and Higgins (1990). Not recognised by Dickinson and Remsen (2013) or del Hoyo et al. (2014) but traditional approach maintained here pending full formal review of taxon variation,Emus and Cassowaries,Casuariidae,Struthioniformes,1,2,2,1,1,0,1,1,1,3,2,5,NA,42.7,Paleognathae,Paleognaths,Paleognaths,Endemic (entirely Australian),1,0,0,0,0,0,1,0,0,7,7,not listed,NA,EN,A2c,EN,A2c,VU,A2c,VU,A2c,EN,2000,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,VU*,not listed,not listed,not listed,not listed,not listed,not listed,not listed,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,not listed,NA,not listed,NA,not listed,NA,not listed,NA,not listed,NA,0,0,NA,NA,NA,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAV,NA,NA,NA,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,0,nil,certain,NAV,NAV,NAV,2.733,1.21,1.16,24,35,41,33,13,58,13,4,54,1,3,0,0,26,7,50,12,NA,NA,NA,NA,2,u2
5,5,Emu,Dromaius,novaehollandiae,NA,Dromaius novaehollandiae,NA,Emus and Cassowaries,Casuariidae,Struthioniformes,1,2,3,1,0,1,0,0,2,3,2,5,32.2,NA,Paleognathae,Paleognaths,Paleognaths,Endemic (entirely Australian),1,0,0,0,0,0,1,0,0,7,7,LC,NA,LC,NA,LC,NA,LC,NA,LC,NA,not listed,NA,not listed,not listed,not listed,not listed,not listed,not listed,not listed,EN (population),not listed,LC,Other,not listed,not listed,not listed,Core,Core,Core,Core,Core,Extinct,Core,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,not listed,NA,not listed,NA,not listed,NA,not listed,NA,not listed,NA,0,0,175,160,190,35500,25400,47600,32700,25400,47600,38300,25800,43000,36300,NAV,NAV,HANZAB,28.88,29.92,-0.31,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,NAV,8.8,4,13,132.5,90,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,none,0,nil,certain,NAV,NAV,NAV,0.408,1.06,1.04,7605,237,97,71,61,82,2,2,3,2,8,13,5,4,12,38,19,NA,NA,NA,NA,1,1
6,6,Tasmanian Emu,Dromaius,novaehollandiae,diemenensis,NA,Subspecies from Marchant and Higgins (1990),Emus and Cassowaries,Casuariidae,Struthioniformes,1,2,3,1,1,0,1,1,2,3,2,5,NA,35.9,Paleognathae,Paleognaths,Paleognaths,Extinct (formerly endemic),0,0,1,0,0,0,1,0,0,0,0,not listed,NA,EX,NA,EX,NA,EX,NA,EX,NA,EX,2000,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,x,not listed,not listed,not listed,not listed,not listed,not listed,not listed,Extinct,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,not listed,NA,not listed,NA,not listed,NA,not listed,NA,not listed,NA,1,0,NA,NA,NA,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAV,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,u1a
7,7,Mainland Emu,Dromaius,novaehollandiae,novaehollandiae,NA,Subspecies from Marchant and Higgins (1990),Emus and Cassowaries,Casuariidae,Struthioniformes,1,2,3,1,2,0,1,1,2,3,2,5,NA,35.9,Paleognathae,Paleognaths,Paleognaths,Endemic (entirely Australian),1,0,0,0,0,0,1,0,0,7,7,not listed,NA,LC,NA,LC,NA,LC,NA,LC,NA,not listed,NA,not listed,not listed,not listed,not listed,not listed,not listed,not listed,EN (population),not listed,LC,Other,not listed,not listed,not listed,Core,Core,Core,Core,Core,not listed,Core,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,not listed,NA,not listed,NA,not listed,NA,not listed,NA,not listed,NA,0,0,NA,NA,NA,35500,25400,47600,32700,25400,47600,38300,25800,43000,36300,NAV,NAV,HANZAB,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7,NA,NA,NA,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,0,nil,certain,NAV,NAV,NAV,0.409,1.06,1.04,7605,230,97,70,60,81,2,2,3,2,7,15,4,4,11,38,19,NA,NA,NA,NA,1,u1b
8,8,King Island Emu,Dromaius,ater,NA,Dromaius ater,NA,Emus and Cassowaries,Casuariidae,Struthioniformes,1,2,3,1,0,1,0,1,1,3,2,5,32.2,42.7,Paleognathae,Paleognaths,Paleognaths,Extinct (formerly endemic),0,0,1,0,0,0,1,0,0,0,0,EX,NA,EX,NA,EX,NA,EX,NA,EX,NA,EX,2000,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,x,not listed,not listed,not listed,not listed,not listed,not listed,not listed,Extinct,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,not listed,NA,not listed,NA,not listed,NA,not listed,NA,not listed,NA,1,0,137,137,137,23000,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,HANZAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAV,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,u740
9,9,Kangaroo Island Emu,Dromaius,baudinianus,NA,Dromaius baudinianus,NA,Emus and Cassowaries,Casuariidae,Struthioniformes,1,2,3,1,0,1,0,1,1,3,2,5,32.2,42.7,Paleognathae,Paleognaths,Paleognaths,Extinct (formerly endemic),0,0,1,0,0,0,1,0,0,0,0,EX,NA,EX,NA,EX,NA,EX,NA,EX,NA,EX,2000,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,EN,not listed,not listed,not listed,not listed,not listed,not listed,not listed,Extinct,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,not listed,NA,not listed,NA,not listed,NA,not listed,NA,not listed,NA,1,0,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAV,NAV,NAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,u741
10,36,Magpie Goose,Anseranas,semipalmata,NA,Anseranas semipalmata,NA,Magpie Goose,Anseranatidae,Anseriformes,2,1,1,1,0,1,0,1,1,1,1,3,69.3,76,Skeleton,"Ducks, Geese, Other Waterfowl, Screamers","Ducks, Geese, Other Waterfowl, Screamers",Australian,1,0,0,0,0,0,0,0,0,6,6,LC,NA,LC,NA,LC,NA,LC,NA,LC,NA,not listed,NA,not listed,not listed,not listed,not listed,not listed,1,not listed,VU,not listed,LC,EN,not listed,Th,not listed,not listed,Core,Core,Core,Introduced,not listed,Introduced,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,present,certain,present,probable,not listed,NA,not listed,NA,not listed,NA,0,0,80,70,90,2420,1410,3200,2770,1840,3200,2070,1410,2770,NAV,NAV,NAV,HANZAB,8.8,9.12,-0.13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,55.3,8.6,1,16,72,53,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,annual outward migration Non-marine,1,high,low,9060,2636,814,0.687,0.99,0.99,1577,203,89,134,113,158,34,14,94,12,10,3,9,14,6,43,4,NA,NA,NA,NA,199,u199
