Date (DD/MM/YY),Shark Species,Is it protected?,As what species has been identified wrong?,How it is found?,What happened to it?,Kilos:,Depth:,"Location (Area, City, Port)","Url link (facebook, youtube, website)",Photo or Video,Photo or video 2
02/01/18,Isurus oxyrinchus,Protected Species,Identified correct,Fishing,Unknown,,,Aegean,https://www.facebook.com/groups/457128891313387/permalink/548087918884150/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/137027206483867083_isurus_oxyrinchus.jpg' target='_blank'>isurus_oxyrinchus.jpg</a>,
09/01/18,Hexanchus griseus,Protected Species,Shark sp.,Fishing,Unknown,,,"Vraxnaika, Patra",,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/370060193788728799_examvragxios_vraxnaika_patron.jpg' target='_blank'>examvragxios_vraxnaika_patron.jpg</a>,
16/01/18,Mustelus mustelus,Non Protected Species,Identified correct,Fishing,Unknown,,,Mytilene,https://www.facebook.com/groups/457128891313387/permalink/554087194950889/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/588781517372596909_mustelus_mustelus-mytilini.jpg' target='_blank'>mustelus_mustelus-mytilini.jpg</a>,
07/01/18,Hexanchus griseus,Protected Species,Cetorhinus maximus,Fishing,Sold,200 kilos,,Fleves Saronikou,https://www.facebook.com/photo.php?fbid=389044088207971&set=a.140714999707549.1073741827.100013071485798&type=3,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/628890546525975396_examvragxios_fleves_saronikos.jpg' target='_blank'>examvragxios_fleves_saronikos.jpg</a>,
16/01/18,Isurus oxyrinchus,Protected Species,Shark sp.,Fishing,Unknown,20 kilos,,"Georgioupoli, Chania",https://www.youtube.com/watch?v=vEafJ-7wDhw,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/894566283476224044_isurus_oxyrinchus_-_giorgoupoli.png' target='_blank'>isurus_oxyrinchus_-_giorgoupoli.png</a>,
03/02/18,Hexanchus griseus,Protected Species,Galeorhinus galeus,Trade,Sold,,,Fishmarket Kaponi,https://www.facebook.com/www.psaragora.net.gr/posts/808098366027532,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/163244763730956814_examvragxios2_ixthyoskala_mixanionas.jpg' target='_blank'>examvragxios2_ixthyoskala_mixanionas.jpg</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/412281300113769917_examvragxios.jpg' target='_blank'>examvragxios.jpg</a>
21/01/18,Alopias superciliosus,Protected Species,Shark sp.,Fishing,Unknown,,,Telendos,https://www.instagram.com/p/BeNkpe4Fe1T/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/761925057811394949_alopias_superciliosus_telendos.jpg' target='_blank'>alopias_superciliosus_telendos.jpg</a>,
28/02/18,Scyliorhinus canicula,Non Protected Species,Identified correct,Trade,Sold,,,"Pikermi, Fish market inside Sklavenitis supermarket",https://www.facebook.com/groups/330623170293210/permalink/1711801228842057/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/900765568720806903_skylopsaro.jpg' target='_blank'>skylopsaro.jpg</a>,
28/02/18,Squalus blainville,Non Protected Species,Identified correct,Fishing,Released,,,Katakolo,https://www.facebook.com/takis.dimakos.5/videos/10215788651657120/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/503152311277737134_squalus_blainville.png' target='_blank'>squalus_blainville.png</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/759244107933242213_squalus_blainville_takis_dimakos.mp4' target='_blank'>squalus_blainville_takis_dimakos.mp4</a>
08/03/18,Galeorhinus galeus,Protected Species,Identified correct,Trade,Sold,,,"Fish market Bakatselos, Chalkida",https://www.facebook.com/449438491889235/photos/a.710580725775009.1073741831.449438491889235/972706932895719/?type=3&theater,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/429690098880202620_galeos_chalkida.jpg' target='_blank'>galeos_chalkida.jpg</a>,
06/02/18,Mustelus mustelus,Non Protected Species,Galeorhinus galeus,Trade,Sold,,,"Fish market ""o Vythos"", Kozani",https://www.facebook.com/IxthyopoleioVuthos/videos/186651308758442/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/829453754659513096_27122421_543384156038085_6882793999325724672_n.mp4' target='_blank'>27122421_543384156038085_6882793999325724672_n.mp4</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/570033230734650155_mustelus_mustelus_kozani.png' target='_blank'>mustelus_mustelus_kozani.png</a>
14/01/18,Hexanchus griseus,Protected Species,Cetorhinus maximus,Fishing,Unknown,,,Rhodes,https://www.facebook.com/xousein.kagias/posts/1599641613458852,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/423122285931226341_examvragxios_rodos_january.jpg' target='_blank'>examvragxios_rodos_january.jpg</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/999589910677745768_examvragxios_rodos_january2.jpg' target='_blank'>examvragxios_rodos_january2.jpg</a>
01/04/18,Squalus blainville,Non Protected Species,Shark sp.,Fishing,Same-consumed,,,Porto Rafti,https://www.facebook.com/photo.php?fbid=1984000341629709&set=gm.591141911245417&type=3&theater,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/809413367644762813_squalus_blainville_porto_rafti.jpg' target='_blank'>squalus_blainville_porto_rafti.jpg</a>,
20/04/18,Scyliorhinus canicula,Non Protected Species,Galeorhinus galeus,Trade,Sold,,,"Public market, Nea Peramos Megaron",https://www.facebook.com/groups/457128891313387/permalink/600062460353362/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/358057864202531237_skylopsaraki_attiki.jpg' target='_blank'>skylopsaraki_attiki.jpg</a>,
02/05/18,Alopias vulpinus,Protected Species,Identified correct,Fishing,Unknown,200 kilos,130m.,Alykes (Between Alykes and Messolonghi in gulf of Patra),http://tempo24.news/eidisi/177409/i-psaria-200-kilon-ston-patraiko-apo-ahagioti-aliea-foto,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/607274060913491116_alopias_vulpinus_patraikos.jpg' target='_blank'>alopias_vulpinus_patraikos.jpg</a>,
