,census_tract_number,total_population,california_county,children_10_percent,pop_11_64_years_percent,elderly_65_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_percent,zip,nearby_city,ces_3_0_score,sb_535_disadvantaged_community,ozone,pm2_5,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score
1,6019001100,3174,Fresno,18.8,73.6,7.6,65.3,4.2,24.6,0.5,3.5,1.8,93706,Fresno,94.09,Yes,0.065,15.4,48.524,681.2,2.75,18551.95719,909.14,80.5,45.75,0.795,0,21.75,79.96,9.85,131.64,7.44,14.13,53.3,16.2,76.3,17.6,26,92.12,9.55
2,6071001600,6133,San Bernardino,19.7,76.1,4.2,91.1,5.8,0.7,0.3,1.4,0.7,91761,Ontario,90.68,Yes,0.062,13.31,38.556,904.66,1.37,7494.236622,782.26,66.2,36,1.25,5,12,81.19,10,60.66,7.04,12.94,53.3,33.4,72.5,12.3,34.1,87.44,9.07
3,6019000200,3167,Fresno,21.5,72.5,6,63.6,5.3,18.9,0.6,9.8,1.8,93706,Fresno,85.97,Yes,0.062,15.4,47.445,681.2,3.03,12454.94841,576.52,22,30.25,0.2,0,2.5,71.16,8.76,142.12,10.16,14.96,42.3,16.7,86.8,16.1,40.1,94.58,9.81
4,6077000801,6692,San Joaquin,18.7,74.5,6.8,57.4,6,12.5,0.3,20.9,2.8,95203,Stockton,82.49,Yes,0.046,12.54,24.117,278.76,12.93,2387.782922,1305.01,50.1,132.1,0.795,19,27,74.48,9.17,142.17,6.23,14.72,40.8,15.3,61.3,19.6,21.1,86.7,8.99
5,6019001500,2206,Fresno,14.8,72.1,13.1,71.8,21.4,1.2,0.5,4.5,0.6,93725,Fresno,82.03,Yes,0.065,15.4,18.846,1000.24,3518.41,21790.70672,435.16,60,54.2,13.1,0,50.8,80.2,9.88,90.48,4.5,12.82,45.1,14.7,66.4,18.6,28.1,80.08,8.3
6,6037204920,2598,Los Angeles,15.3,74.5,10.2,98.1,1.2,0.1,0.1,0.2,0.3,90023,Los Angeles,80.73,Yes,0.046,12.89,56.52,714.48,0,39040.17995,2943.44,36.7,25,4.93,7,3.85,76.73,9.45,68.74,7.35,10.4,53.1,23.7,66.4,11.6,22,82.36,8.54
7,6077000300,2396,San Joaquin,16.7,69.8,13.5,51.8,16.4,16.4,1.3,9.9,4.1,95203,Stockton,80.18,Yes,0.046,13.44,21.76,278.76,172.49,707.5361575,885.52,89.7,149.05,0.135,14,2.3,68.27,8.41,169.56,8.36,12.7,46,27.1,76.2,14.4,24.3,91.94,9.53
8,6019001000,4106,Fresno,21,71.3,7.7,52.7,2.7,28.7,0.4,14.3,1.2,93706,Fresno,80.13,Yes,0.065,15.4,20.848,788.02,1435.93,6996.962409,243.54,15.45,20,0,0,10,66.88,8.24,142.28,7.83,14.96,47.4,15.8,74.5,20,31.8,93.79,9.73
9,6037206050,2146,Los Angeles,12.4,63.2,24.4,79.3,8.9,4.1,0.1,7.2,0.5,90023,Los Angeles,79.03,Yes,0.046,12.89,53.958,664.07,0,10378.23648,2810.82,36.05,16.25,10.025,7,22.1,77.09,9.5,58.03,6.71,7.24,50.4,35.7,75.7,28.5,31.7,80.25,8.32
10,6019000400,6343,Fresno,18.3,75.8,5.9,78,9.1,5.8,0.8,5.3,0.9,93721,Fresno,78.53,Yes,0.065,15.4,54.356,681.2,114.96,125383.892,815.36,15.95,13.5,0.755,0,0.5,73.89,9.1,107.8,4.79,14.75,52.5,13.7,83.4,23.5,23.2,83.2,8.63
