Location,Species,Site,Net Photosynthesis,Respiration,Gross Photosynthesis,Pg:R ratio,Symbiodinaceae density,Chlorophyll concentration,Surface area
Normanby,Pocillopora verrucosa,Reference,0.645485,-1.401490944,2.046975944,1.460570225,409821.941,8.082515209,3.742
Normanby,Pocillopora verrucosa,Reference,0.261668571,-0.737437975,0.999106546,1.354834684,327893.3362,6.453677695,7.985
Normanby,Pocillopora verrucosa,Reference,0.180233488,-0.698160823,0.878394311,1.258154686,362696.4482,5.540225257,7.464
Normanby,Pocillopora verrucosa,Reference,0.933093582,-1.810022453,2.743116035,1.515514921,557895.8482,2.959953807,2.687
Normanby,Pocillopora verrucosa,Reference,0.43562487,-1.11933462,1.55495949,1.389181986,452324.8241,8.097840996,3.715
Normanby,Pocillopora verrucosa,Reference,0.616239423,-1.798535839,2.414775262,1.342633941,383898.4401,8.277362233,4.781
Normanby,Pocillopora verrucosa,Reference,0.678743259,-1.744085973,2.422829232,1.389168464,601760.6981,1.513811094,4.141
Normanby,Pocillopora verrucosa,Reference,0.526434541,-0.958454697,1.484889238,1.549253442,411564.8531,1.360907781,7.174
Normanby,Pocillopora verrucosa,Reference,0.476775149,-1.53382871,2.010603859,1.310839891,249166.9031,1.841050277,6.447
Normanby,Pocillopora verrucosa,Reference,0.6523255,-1.1856263,1.8379518,1.550194863,335912.6712,5.098447164,2.598
Normanby,Pocillopora verrucosa,Reference,0.763517608,-1.335352412,2.09887002,1.571772366,,,2.513
Normanby,Pocillopora verrucosa,Reference,0.530356374,-1.570065079,2.100421453,1.337792606,,,4.61
Normanby,Pocillopora verrucosa,Reference,0.319131665,-0.569244775,0.88837644,1.560622915,,,7.505
Normanby,Pocillopora verrucosa,Reference,0.688080909,-0.833242495,1.521323404,1.825787107,,,4.969
Normanby,Pocillopora verrucosa,Reference,0.507722256,-0.902317834,1.41004009,1.562686713,,,6.222
Normanby,Porites cylindrica,Reference,0.392717797,-0.639725406,1.032443203,1.613884947,2120600.434,26.31665138,4.928
Normanby,Porites cylindrica,Reference,0.220851972,-0.260078945,0.480930917,1.849172823,1791724.097,20.77002259,6.341
Normanby,Porites cylindrica,Reference,0.234070438,-0.308427195,0.542497633,1.75891634,2681620.147,25.258452,3.699
Normanby,Porites cylindrica,Reference,0.37952632,-0.590275572,0.969801892,1.642964639,2710963.063,21.30444646,4.195
Normanby,Porites cylindrica,Reference,0.300102721,-0.529578535,0.829681256,1.566682184,2403324.856,10.54740586,5.411
Normanby,Porites cylindrica,Reference,0.807480221,-0.590089508,1.397569729,2.368402946,1324758.885,8.404163856,4.271
Normanby,Porites cylindrica,Reference,0.41970743,-0.461749431,0.881456861,1.908950617,2500532.316,25.29722203,4.727
Normanby,Porites cylindrica,Reference,0.62829882,-0.495525203,1.123824023,2.267945235,2247784.83,15.98782722,5.172
Normanby,Porites cylindrica,Reference,0.390096084,-0.45207036,0.842166444,1.86291011,1969881.983,11.46605323,6.379
Normanby,Porites cylindrica,Reference,0.207110831,-0.521320594,0.728431425,1.397281123,,,8.262
Normanby,Porites cylindrica,Reference,0.704360021,-0.69254075,1.396900771,2.017066535,,,3.772
Normanby,Porites cylindrica,Reference,0.585048541,-0.415865516,1.000914057,2.406821481,,,6.344
Normanby,Porites cylindrica,Reference,0.572598506,-0.399291603,0.971890109,2.434035932,,,3.756
Normanby,Porites cylindrica,Reference,0.357058789,-0.485890465,0.842949254,1.734854488,,,9.13
Normanby,Acropora tenuis,Reference,0.245898148,-0.288529019,0.534427167,1.852247545,1347467.607,7.397447997,11.061
Normanby,Acropora tenuis,Reference,0.470426707,-0.323724763,0.79415147,2.453168743,1282811.809,8.876930707,8.661
Normanby,Acropora tenuis,Reference,0.413671791,-0.2984513,0.712123091,2.38606128,2187313.28,10.59591639,5.183
Normanby,Acropora tenuis,Reference,0.195555876,-0.250974059,0.446529935,1.779187605,1873245.455,12.12638954,9.442
Normanby,Acropora tenuis,Reference,0.14782046,-0.232874902,0.380695362,1.63476338,1300632.863,10.10609674,11.862
Normanby,Acropora tenuis,Reference,0.270891809,-0.280900422,0.551792231,1.964369534,1952822.768,13.66975938,10.215
Normanby,Acropora tenuis,Reference,0.286214502,-0.150935471,0.437149973,2.896270639,2301555.24,15.02760659,12.263
Normanby,Acropora tenuis,Reference,0.349197151,-0.457305373,0.806502524,1.763597306,1345807.828,11.57234741,9.843
Normanby,Acropora tenuis,Reference,0.342943886,-0.310649176,0.653593062,2.103958782,629667.9087,10.58855517,10.958
Normanby,Acropora tenuis,Reference,0.357942244,-0.161152364,0.519094608,3.221141751,2040677.579,9.020227932,8.823
Normanby,Acropora tenuis,Reference,0.12238344,-0.217585718,0.339969158,1.562460814,,,9.941
Normanby,Acropora tenuis,Reference,0.202262219,-0.227923208,0.430185427,1.887413883,,,11.688
Normanby,Acropora tenuis,Reference,0.20772799,-0.25257794,0.46030593,1.822431246,,,14.762
Normanby,Acropora tenuis,Reference,0.446163567,-0.360157295,0.806320862,2.238801971,,,9.135
Normanby,Acropora tenuis,Reference,0.386334402,-0.283947255,0.670281657,2.360585092,,,10.161
Normanby,Seriatopora hystrix,Reference,0.497001514,-0.381260359,0.878261873,2.303575109,2419545.894,15.108994,7.581
Normanby,Seriatopora hystrix,Reference,0.812827872,-0.166429506,0.979257378,5.88391687,2436349.975,13.18416132,3.01
Normanby,Seriatopora hystrix,Reference,0.45658913,-0.266992117,0.723581247,2.710122138,2223018.004,13.40077262,5.723
Normanby,Seriatopora hystrix,Reference,0.594867688,-0.354733009,0.949600697,2.676944837,2730908.899,17.70994421,6.284
Normanby,Seriatopora hystrix,Reference,1.013383361,-0.576603649,1.58998701,2.757504245,1946474.582,12.52310627,5.427
Normanby,Seriatopora hystrix,Reference,0.643098013,-0.259687251,0.902785264,3.476432749,1936670.33,17.36990139,9.667
Normanby,Seriatopora hystrix,Reference,0.487056281,-0.318286536,0.805342817,2.530244688,1592891.812,16.51857002,8.392
Normanby,Seriatopora hystrix,Reference,0.491677723,-0.195241252,0.686918975,3.518308595,3092746.569,29.87836188,6.244
Normanby,Seriatopora hystrix,Reference,0.690060386,-0.165154931,0.855215317,5.178260872,1443124.706,18.40625389,6.092
Normanby,Seriatopora hystrix,Reference,0.576717006,-0.229969168,0.806686174,3.50780142,3163368.434,30.30024098,7.803
Normanby,Seriatopora hystrix,Reference,1.022724187,-0.327724323,1.35044851,4.120684414,,,4.979
Normanby,Seriatopora hystrix,Reference,0.614608656,-0.322960076,0.937568732,2.9030484,,,7.882
Normanby,Seriatopora hystrix,Reference,1.014522348,-0.146373359,1.160895707,7.931058732,,,2.744
Normanby,Seriatopora hystrix,Reference,1.015367926,-0.192827274,1.2081952,6.265686255,,,2.391
Normanby,Seriatopora hystrix,Reference,0.964576937,-0.2845634,1.249140337,4.389673222,,,4.442
Normanby,Pocillopora verrucosa,Vents,0.783945175,-0.528942927,1.312888102,2.48209785,2257718.996,12.19752194,8.21
Normanby,Pocillopora verrucosa,Vents,1.364236771,-0.275659656,1.639896427,5.948989601,2372468.385,18.26189514,5.617
Normanby,Pocillopora verrucosa,Vents,1.189372976,-1.043927695,2.233300671,2.139325053,2488270.914,15.98963618,4.084
Normanby,Pocillopora verrucosa,Vents,0.623334568,-0.938109309,1.561443877,1.664458355,2521661.456,14.09186205,4.627
Normanby,Pocillopora verrucosa,Vents,1.382026583,-0.849920269,2.231946852,2.626066154,1994256.846,16.0921268,6.284
