Sample,Date ,"time of day (AM, PM)",No. Sharks,Time taken for first shark to arrive (minuets),"sea state (calm, choppy, rough)",wind direction,"Water vis (poor,moderate,good)",No. males,No. females,Max. size (m),Min. size (m),trip duration (minuets) ,SITE,Water Temp (℃)
1,2-Jan,AM,4,90,calm,SW,good,1,3,3,2.2,165,Groot Brak,22
2,2-Jan,PM,3,55,calm,S,good,0,3,2.5,2.2,70,Groot Brak,22
3,3-Jan,AM,3,25,calm,SE,good,0,3,2.5,2.2,195,Groot Brak,21
4,3-Jan,PM,4,65,choppy,SE,good,1,3,3,2.2,85,Groot Brak,21
5,4-Jan,AM,3,105,calm,E,good,0,3,3,2.2,180,Groot Brak,21
6,4-Jan,PM,1,15,calm,SW,good,0,1,2.5,2.5,75,Groot Brak,21
7,4-Jan,PM,2,40,calm,SW,good,0,2,2.5,2.3,175,Groot Brak,21
8,5-Jan,AM,1,75,calm,E,good,0,1,2.5,2.5,195,Groot Brak,21
9,5-Jan,PM,4,na,calm,ESE,good,1,3,3,2.2,50,Groot Brak,21
10,5-Jan,PM,1,na,calm,SE,good,0,1,2.3,2.3,175,Groot Brak,21
11,6-Jan,AM,2,100,Calm,SE,good,0,2,2.5,2.2,190,Groot Brak,20
12,6-Jan,PM,4,35,Calm,SE,good,1,3,3,2.2,60,Groot Brak,20
13,6-Jan,PM,0,na,Calm,SE,good,0,0,na,na,190,Groot Brak,20
14,7-Jan,AM,2,130,Calm,E,good,0,2,2.5,2.3,190,Groot Brak,21
15,7-Jan,PM,4,55,choppy,SE,good,0,3,2.5,2.3,190,Groot Brak,21
16,9-Jan,AM,0,na,calm,SE,good,0,0,na,na,190,Groot Brak,20
17,9-Jan,PM,3,na,calm,SE,good,1,2,2.5,2.2,115,Groot Brak,20
18,9-Jan,PM,4,na,calm,SE,good,1,3,2.5,2.2,125,Groot Brak,20
19,10-Jan,AM,0,na,calm,W,good,0,0,na,na,195,Groot Brak,21
20,10-Jan,PM,4,55,calm,S,good,0,4,2.5,2,135,Groot Brak,21
21,11-Jan,AM,1,110,calm,S,good,0,1,2.5,2.5,190,Groot Brak,21
22,11-Jan,PM,4,25,calm,SW,good,1,3,2.5,2.2,105,Groot Brak,21
23,11-Jan,PM,2,55,calm,SW,good,0,2,2.5,2.3,115,Groot Brak,21
24,12-Jan,AM,1,115,Calm,E,good,0,1,2.5,2.5,190,Groot Brak,20
25,12-Jan,PM,4,60,calm,ESE,good,0,4,2.5,2,115,Groot Brak,20
26,12-Jan,PM,1,40,calm,SE,good,0,1,2.5,2.5,110,Groot Brak,20
27,13-Jan,AM,3,90,calm,NW,good,1,2,3,2,175,Groot Brak,21
28,13-Jan,PM,6,40,calm,SW,good,1,5,3,2,100,Groot Brak,21
29,14-Jan,AM,2,110,choppy,SE,good,0,2,2.5,2.2,190,Groot Brak,21
30,14-Jan,PM,3,75,choppy,SE,good,1,2,3,2.3,140,Groot Brak,21
31,15-Jan,AM,4,120,calm,W,good,0,4,2.8,2,180,Groot Brak,20
32,15-Jan,PM,2,50,calm,SW,good,0,2,2.3,2,115,Groot Brak,20
33,16-Jan,AM,1,105,calm,S,good,0,1,2.5,2.5,170,Groot Brak,20
34,16-Jan,PM,4,30,calm,SW,good,0,4,3,2.3,105,Groot Brak,20
35,17-Jan,AM,4,105,calm,SE,good,0,3,2.8,2,185,Groot Brak,21
36,17-Jan,PM,4,50,calm,SE,good,1,4,3,2.2,145,Groot Brak,21
37,18-Jan,AM,3,115,calm,W,good,0,3,2.5,2,190,Groot Brak,20
38,18-Jan,PM,1,55,calm,WSW,good,0,1,2.3,2.3,120,Groot Brak,20
39,18-Jan,PM,6,100,calm,SW,good,0,6,3,3,100,Groot Brak,20
40,19-Jan,AM,3,100,Calm,E,good,0,3,2.5,2.2,180,Groot Brak,21
41,19-Jan,PM,4,50,calm,ESE,good,0,4,2.5,2,130,Groot Brak,21
42,22-Jan,AM,0,na,Calm,E,good,0,0,na,na,190,Groot Brak,21
43,22-Jan,PM,3,40,Calm,SE,good,0,3,2.5,2,80,Groot Brak,21
44,23-Jan,AM,3,115,calm,NW,good,0,3,2.5,2,190,Groot Brak,20
45,23-Jan,PM,3,na,Calm,W,moderate,0,3,2.8,2,na,Groot Brak,20
